municipality_code,municipality_name,region_code,region_name
101,Copenhagen,1084,Capital Region of Denmark
147,Frederiksberg,1084,Capital Region of Denmark
151,Ballerup,1084,Capital Region of Denmark
153,Brøndby,1084,Capital Region of Denmark
155,Dragør,1084,Capital Region of Denmark
157,Gentofte,1084,Capital Region of Denmark
159,Gladsaxe,1084,Capital Region of Denmark
161,Glostrup,1084,Capital Region of Denmark
163,Herlev,1084,Capital Region of Denmark
165,Albertslund,1084,Capital Region of Denmark
167,Hvidovre,1084,Capital Region of Denmark
169,Høje-Taastrup,1084,Capital Region of Denmark
173,Lyngby-Taarbæk,1084,Capital Region of Denmark
175,Rødovre,1084,Capital Region of Denmark
183,Ishøj,1084,Capital Region of Denmark
185,Tårnby,1084,Capital Region of Denmark
187,Vallensbæk,1084,Capital Region of Denmark
190,Furesø,1084,Capital Region of Denmark
201,Allerød,1084,Capital Region of Denmark
210,Fredensborg,1084,Capital Region of Denmark
217,Helsingør,1084,Capital Region of Denmark
219,Hillerød,1084,Capital Region of Denmark
223,Hørsholm,1084,Capital Region of Denmark
230,Rudersdal,1084,Capital Region of Denmark
240,Egedal,1084,Capital Region of Denmark
250,Frederikssund,1084,Capital Region of Denmark
253,Greve,1085,Region Zealand
259,Køge,1085,Region Zealand
260,Halsnæs,1084,Capital Region of Denmark
265,Roskilde,1085,Region Zealand
269,Solrød,1085,Region Zealand
270,Gribskov,1084,Capital Region of Denmark
306,Odsherred,1085,Region Zealand
316,Holbæk,1085,Region Zealand
320,Faxe,1085,Region Zealand
326,Kalundborg,1085,Region Zealand
329,Ringsted,1085,Region Zealand
330,Slagelse,1085,Region Zealand
336,Stevns,1085,Region Zealand
340,Sorø,1085,Region Zealand
350,Lejre,1085,Region Zealand
360,Lolland,1085,Region Zealand
370,Næstved,1085,Region Zealand
376,Guldborgsund,1085,Region Zealand
390,Vordingborg,1085,Region Zealand
400,Bornholm,1084,Capital Region of Denmark
410,Middelfart,1083,Region of Southern Denmark
420,Assens,1083,Region of Southern Denmark
430,Faaborg-Midtfyn,1083,Region of Southern Denmark
440,Kerteminde,1083,Region of Southern Denmark
450,Nyborg,1083,Region of Southern Denmark
461,Odense,1083,Region of Southern Denmark
479,Svendborg,1083,Region of Southern Denmark
480,Nordfyns,1083,Region of Southern Denmark
482,Langeland,1083,Region of Southern Denmark
492,Ærø,1083,Region of Southern Denmark
510,Haderslev,1083,Region of Southern Denmark
530,Billund,1083,Region of Southern Denmark
540,Sønderborg,1083,Region of Southern Denmark
550,Tønder,1083,Region of Southern Denmark
561,Esbjerg,1083,Region of Southern Denmark
563,Fanø,1083,Region of Southern Denmark
573,Varde,1083,Region of Southern Denmark
575,Vejen,1083,Region of Southern Denmark
580,Aabenraa,1083,Region of Southern Denmark
607,Fredericia,1083,Region of Southern Denmark
615,Horsens,1082,Central Denmark Region
621,Kolding,1083,Region of Southern Denmark
630,Vejle,1083,Region of Southern Denmark
657,Herning,1082,Central Denmark Region
661,Holstebro,1082,Central Denmark Region
665,Lemvig,1082,Central Denmark Region
671,Struer,1082,Central Denmark Region
706,Syddjurs,1082,Central Denmark Region
707,Norddjurs,1082,Central Denmark Region
710,Favrskov,1082,Central Denmark Region
727,Odder,1082,Central Denmark Region
730,Randers,1082,Central Denmark Region
740,Silkeborg,1082,Central Denmark Region
741,Samsø,1082,Central Denmark Region
746,Skanderborg,1082,Central Denmark Region
751,Aarhus,1082,Central Denmark Region
756,Ikast-Brande,1082,Central Denmark Region
760,Ringkøbing-Skjern,1082,Central Denmark Region
766,Hedensted,1082,Central Denmark Region
773,Morsø,1081,North Denmark Region
779,Skive,1082,Central Denmark Region
787,Thisted,1081,North Denmark Region
791,Viborg,1082,Central Denmark Region
810,Brønderslev,1081,North Denmark Region
813,Frederikshavn,1081,North Denmark Region
820,Vesthimmerlands,1081,North Denmark Region
825,Læsø,1081,North Denmark Region
840,Rebild,1081,North Denmark Region
846,Mariagerfjord,1081,North Denmark Region
849,Jammerbugt,1081,North Denmark Region
851,Aalborg,1081,North Denmark Region
860,Hjørring,1081,North Denmark Region
